feed_temperature_K,feed_pressure_kPa,feed_composition_benzene,n_stages,feed_stage,reflux_ratio,bottoms_rate_kmol_h,feed_vapor_fraction_q,column_pressure_kPa,relative_volatility,R_over_Rmin,N_over_Nmin,feed_stage_fraction,distillate_rate_kmol_h,bubble_point_T_K,dew_point_T_K,xD_benzene,xB_benzene,QC_kW,QR_kW
353.684,101.325,0.4143,30,14,2.0714,54.0,0.51539,101.325,8.09996,3.39811,21.87477,0.46667,46.0,337.332,369.059,0.738463,0.13813486,1232.0687,1288.9935
336.842,101.325,0.4714,30,5,1.5,70.0,0.09857,101.325,9.85967,2.75703,40.5132,0.16667,30.0,333.603,366.46,0.7,0.3,655.9625,676.1111
328.421,101.325,0.5857,10,3,1.5,62.0,0.03768,101.325,11.00492,1.62823,14.15287,0.3,38.0,327.162,360.573,0.7,0.3,830.8822,856.4196
341.053,152.0,0.4714,30,26,2.9286,70.0,-0.04004,152.0,9.38445,3.22445,31.33281,0.86667,30.0,348.802,380.342,0.785247,0.3,1254.2244,1301.3639
324.211,152.0,0.5286,20,13,2.0714,46.0,-0.10878,152.0,11.69381,2.10194,25.40559,0.65,54.0,345.266,377.38,0.735183,0.28602717,1771.8563,1833.3356
370.526,202.65,0.5286,30,25,1.7857,30.0,0.44171,202.65,6.86451,2.80191,16.82991,0.83333,70.0,356.766,387.919,0.721972,0.07730365,2407.8814,2527.281
357.895,101.325,0.4143,30,4,3.2143,70.0,0.6481,101.325,7.74456,3.61328,25.22293,0.13333,30.0,337.332,369.059,0.793417,0.25180092,1097.8456,1143.7614
374.737,202.65,0.5857,20,4,2.3571,62.0,0.68422,202.65,6.60125,3.3188,19.2992,0.2,38.0,353.412,384.579,0.751848,0.3,1571.6653,1626.2956
336.842,101.325,0.5857,15,8,2.3571,46.0,0.28973,101.325,9.85967,3.31095,18.02245,0.53333,54.0,327.162,360.573,0.742187,0.3,1580.4164,1634.249
348.928,152.0,0.4398,12,4,2.8496,47.445,-0.01021,152.0,8.55914,3.86701,7.97739,0.33333,52.555,350.905,381.883,0.743844,0.10306905,2159.9347,2266.6842
